,High,Low,Open,Close,Volume,tweets,Marketcap,google_trends,profitability,transaction_fee,change,fluction,price,Date
675,167.058148664,159.709646034,166.332830879,164.391010988,13735193017.9104,17969103320.7762,3536.0,4.087,0.0137,0.0137,1,0.03886,170.77995796,2020-01-16
676,173.06920668599997,162.775606044,164.489378644,170.77995796,14997091825.8827,18669811575.9153,3482.0,5.415,0.0143,0.0143,1,0.02685,175.36567147,2020-01-17
677,178.52878231900002,166.789015581,170.747720668,175.36567147,14929342255.5251,19173512822.9137,3331.0,4.4910000000000005,0.0146,0.0146,0,-0.04788,166.969841975,2020-01-18
678,177.247628512,163.676859896,175.467596812,166.969841975,13713374132.1754,18257853531.6232,3264.0,4.148,0.0145,0.0145,1,0.0009,167.120509335,2020-01-19
679,169.11487959,162.331598259,166.904132899,167.120509335,11144529787.0924,18276600991.9192,3912.0,4.109,0.0139,0.0139,1,0.01542,169.69716391,2020-01-20
680,169.910115785,165.81971908100002,167.060471487,169.69716391,9789369362.47085,18560711557.1284,4214.0,3.741,0.013999999999999999,0.013999999999999999,0,-0.00827,168.294161709,2020-01-21
681,171.008695889,166.77423180600002,169.608539246,168.294161709,9209827927.92133,18409534609.4783,3625.0,3.49,0.0141,0.0141,0,-0.03188,162.928558428,2020-01-22
682,168.312241207,160.295318963,168.295706571,162.928558428,10396868698.0135,17824835899.2751,3629.0,3.466,0.0138,0.0138,1,0.00075,163.051182861,2020-01-23
683,164.309446677,156.749744617,162.899373257,163.051182861,10657671161.8162,17840465424.1492,3076.0,3.262,0.0132,0.0132,0,-0.01084,161.283936353,2020-01-24
684,163.22722698,158.632477426,163.067289351,161.283936353,8256956801.64332,17649296255.9479,2930.0,2.88,0.0133,0.0133,1,0.04212,168.077100489,2020-01-25
685,168.220317249,160.281126809,161.17682282299998,168.077100489,9261861589.61793,18394952134.9465,2833.0,2.9819999999999998,0.0137,0.0137,1,0.01698,170.930890433,2020-01-26
686,172.92291363099997,166.901097609,168.008857304,170.930890433,11004476145.2172,18709615890.943,3146.0,3.645,0.0142,0.0142,1,0.03182,176.37032054099998,2020-01-27
687,176.37032054099998,170.738064574,170.88486291,176.37032054099998,11772875063.6629,19307396128.3943,3951.0,4.256,0.0147,0.0147,0,-0.00748,175.05033792900002,2020-01-28
688,178.84296864400002,175.05033792900002,176.347887584,175.05033792900002,10725267310.6002,19165292202.1875,3844.0,4.343999999999999,0.0148,0.0148,1,0.05507,184.69047643599998,2020-01-29
689,186.26048982900002,172.37463385900003,174.917704987,184.69047643599998,12604789338.0387,20223232963.5657,3928.0,4.412,0.0151,0.0151,0,-0.02453,180.160175239,2020-01-30
690,185.405842386,176.29681703,184.736902227,180.160175239,11728616393.8933,19729633077.607,3507.0,4.26,0.0154,0.0154,1,0.0195,183.673947121,2020-01-31
691,183.84555507599998,179.745185298,180.11377090599998,183.673947121,11569697182.4858,20116913727.9509,3298.0,4.004,0.0156,0.0156,1,0.02692,188.61753816799998,2020-02-01
692,193.08039694400003,180.173943963,183.53250583,188.61753816799998,14054425388.9062,20660936266.9287,3924.0,4.476,0.0158,0.0158,1,0.00661,189.865063235,2020-02-02
693,193.436888878,188.012688899,188.607413495,189.865063235,12392875241.4011,20800183238.206,4094.0,4.68,0.016,0.016,0,-0.00324,189.25060239299998,2020-02-03
694,191.11148936900003,185.403623948,189.861727725,189.25060239299998,11714191695.0612,20735478719.6275,3989.0,4.3919999999999995,0.0157,0.0157,1,0.07915,204.23024469799998,2020-02-04
